dt,value_H,value_Q
2024-04-02 04:30:00+00:00,3.15,429.0
2024-04-02 04:45:00+00:00,3.15,429.0
2024-04-02 05:00:00+00:00,3.15,429.0
2024-04-02 05:15:00+00:00,3.15,429.0
2024-04-02 05:30:00+00:00,3.13,421.0
2024-04-02 05:45:00+00:00,3.18,441.0
2024-04-02 06:00:00+00:00,3.22,456.0
2024-04-02 06:15:00+00:00,3.23,460.0
2024-04-02 06:30:00+00:00,3.22,456.0
2024-04-02 06:45:00+00:00,3.24,464.0
2024-04-02 07:00:00+00:00,3.23,460.0
2024-04-02 07:15:00+00:00,3.22,456.0
2024-04-02 07:30:00+00:00,3.23,460.0
2024-04-02 07:45:00+00:00,3.22,456.0
2024-04-02 08:00:00+00:00,3.23,460.0
2024-04-02 08:15:00+00:00,3.23,460.0
2024-04-02 08:30:00+00:00,3.23,460.0
2024-04-02 08:45:00+00:00,3.24,464.0
2024-04-02 09:00:00+00:00,3.24,464.0
2024-04-02 09:15:00+00:00,3.23,460.0
2024-04-02 09:30:00+00:00,3.24,464.0
2024-04-02 09:45:00+00:00,3.24,464.0
2024-04-02 10:00:00+00:00,3.24,464.0
2024-04-02 10:15:00+00:00,3.24,464.0
2024-04-02 10:30:00+00:00,3.25,468.0
2024-04-02 10:45:00+00:00,3.25,468.0
2024-04-02 11:00:00+00:00,3.25,468.0
2024-04-02 11:15:00+00:00,3.26,472.0
2024-04-02 11:30:00+00:00,3.26,472.0
2024-04-02 11:45:00+00:00,3.26,472.0
2024-04-02 12:00:00+00:00,3.27,476.0
2024-04-02 12:15:00+00:00,3.27,476.0
2024-04-02 12:30:00+00:00,3.27,476.0
2024-04-02 12:45:00+00:00,3.28,480.0
2024-04-02 13:00:00+00:00,3.29,485.0
2024-04-02 13:15:00+00:00,3.29,485.0
2024-04-02 13:30:00+00:00,3.29,485.0
2024-04-02 13:45:00+00:00,3.29,485.0
2024-04-02 14:00:00+00:00,3.29,485.0
2024-04-02 14:15:00+00:00,3.3,489.0
2024-04-02 14:30:00+00:00,3.3,489.0
2024-04-02 14:45:00+00:00,3.31,493.0
2024-04-02 15:00:00+00:00,3.31,493.0
2024-04-02 15:15:00+00:00,3.31,493.0
2024-04-02 15:30:00+00:00,3.32,497.0
2024-04-02 15:45:00+00:00,3.31,493.0
2024-04-02 16:00:00+00:00,3.32,497.0
2024-04-02 16:15:00+00:00,3.33,501.0
2024-04-02 16:30:00+00:00,3.33,501.0
2024-04-02 16:45:00+00:00,3.33,501.0
2024-04-02 17:00:00+00:00,3.33,501.0
2024-04-02 17:15:00+00:00,3.33,501.0
2024-04-02 17:30:00+00:00,3.32,497.0
2024-04-02 17:45:00+00:00,3.32,497.0
2024-04-02 18:00:00+00:00,3.33,501.0
2024-04-02 18:15:00+00:00,3.33,501.0
2024-04-02 18:30:00+00:00,3.33,501.0
2024-04-02 18:45:00+00:00,3.33,501.0
2024-04-02 19:00:00+00:00,3.34,505.0
2024-04-02 19:15:00+00:00,3.34,505.0
2024-04-02 19:30:00+00:00,3.35,509.0
2024-04-02 19:45:00+00:00,3.36,514.0
2024-04-02 20:00:00+00:00,3.38,522.0
2024-04-02 20:15:00+00:00,3.42,539.0
2024-04-02 20:30:00+00:00,3.46,557.0
2024-04-02 20:45:00+00:00,3.51,579.0
2024-04-02 21:00:00+00:00,3.57,606.0
2024-04-02 21:15:00+00:00,3.62,630.0
2024-04-02 21:30:00+00:00,3.68,658.0
2024-04-02 21:45:00+00:00,3.72,678.0
2024-04-02 22:00:00+00:00,3.79,712.0
2024-04-02 22:15:00+00:00,3.83,732.0
2024-04-02 22:30:00+00:00,3.88,758.0
2024-04-02 22:45:00+00:00,3.9,769.0
2024-04-02 23:00:00+00:00,3.93,784.0
2024-04-02 23:15:00+00:00,3.96,800.0
2024-04-02 23:30:00+00:00,3.97,806.0
2024-04-02 23:45:00+00:00,3.98,811.0
2024-04-03 00:00:00+00:00,3.99,816.0
2024-04-03 00:15:00+00:00,3.99,816.0
2024-04-03 00:30:00+00:00,4.0,822.0
2024-04-03 00:45:00+00:00,4.0,822.0
2024-04-03 01:00:00+00:00,3.99,816.0
2024-04-03 01:15:00+00:00,3.99,816.0
2024-04-03 01:30:00+00:00,3.98,811.0
2024-04-03 01:45:00+00:00,3.97,806.0
2024-04-03 02:00:00+00:00,3.96,800.0
2024-04-03 02:15:00+00:00,3.95,795.0
2024-04-03 02:30:00+00:00,3.93,784.0
2024-04-03 02:45:00+00:00,3.91,774.0
